_step,test/achieved_goal,test/action,test/done,test/desired_goal,test/observations,test/causal_embedding,test/env_info,_runtime,test/reward,test/episode,global_step,_timestamp,test/steps
12,"[0.54732346534729, -0.11648113280534744, 0.029763806611299515]","[-0.8322184085845947, -0.9910157918930054, -0.7065334916114807, 0.7299232482910156]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5141988396644592, -0.16355514526367188, 0.12145320326089859, 0.07999972999095917, 0.54732346534729, -0.11648113280534744, 0.029763806611299515, 0.1709306538105011, -0.09037622064352036, -0.05162189155817032]]","[-0.008863311260938644, 0.011986806988716125, 0.031095873564481735, 0.16866515576839447, -0.010663427412509918, 0.25474268198013306]","[1, 1]",74.897702404,-0.14629413187503815,1,12,1745573715.6820211,4
13,"[0.5501136779785156, -0.11067354679107666, 0.02858152613043785]","[0.7334597110748291, 0.5743570327758789, -0.9693299531936646, 0.5356351137161255]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5505591034889221, -0.13484983146190643, 0.07284747809171677, 0.08000104129314423, 0.5501136779785156, -0.11067354679107666, 0.02858152613043785, 0.08824893832206726, -0.05839118734002113, -0.017574168741703033]]","[0.15041705965995789, -0.09556644409894943, -0.11053737252950668, -0.10020514577627182, -0.1673799604177475, 0.1339925080537796]","[1, 1]",77.665971352,-0.13987934589385986,1,13,1745573718.7260578,5
14,"[0.5500777363777161, -0.11041272431612015, 0.02901456318795681]","[0.17203116416931152, 0.7815243005752563, -0.7138395309448242, 0.3636890649795532]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5588306784629822, -0.09588664770126343, 0.037067435681819916, 0.08000169694423676, 0.5500777363777161, -0.11041272431612015, 0.02901456318795681, 0.08753511309623718, -0.05752239376306534, -0.017186440527439117]]","[0.0354158841073513, -0.2144775688648224, -0.10070203989744186, -0.04548633098602295, -0.10963079333305359, 0.2532978057861328]","[1, 1]",81.345774478,-0.13964484632015228,1,14,1745573721.4943283,6
15,"[0.5500139594078064, -0.10107902437448502, 0.02904052473604679]","[0.44294559955596924, 0.9659054279327393, 0.6671929359436035, -0.8796683549880981]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5803038477897644, -0.0476791076362133, 0.0694747343659401, 0.06400135904550552, 0.5500139594078064, -0.10107902437448502, 0.02904052473604679, 0.0920921042561531, -0.06252817809581757, -0.05512363463640213]]","[0.015598408877849579, -0.032340601086616516, 0.19668087363243103, -0.01590467058122158, -0.44390732049942017, -0.012787390500307083]","[1, 1]",85.522592659,-0.13099487125873566,1,15,1745573725.1741478,7
16,"[0.5723416805267334, -0.04728049784898758, 0.06118091568350792]","[0.44294559955596924, 0.9659054279327393, 0.6671929359436035, -0.8796683549880981]",True,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5996097326278687, 0.019808458164334297, 0.0596633180975914, 0.0787520632147789, 0.5723416805267334, -0.04728049784898758, 0.06118091568350792, 0.09246987104415894, -0.055046260356903076, -0.05447149649262428]]","[0.09320167452096939, 0.08660601079463959, 0.20918747782707214, -0.06646023690700531, -0.5133288502693176, -0.06979329138994217]","[1, 1]",85.524854737,-0.07914479076862335,1,16,1745573729.3509634,8
0,"[0.4106735289096832, -0.06431993842124939, 0.02955043502151966]","[-0.3286474943161011, 0.10255491733551025, -0.023122668266296387, 0.5790739059448242]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6215437054634094, 0.004466511774808168, 0.19592773914337158, 0.01327188964933157, 0.4106735289096832, -0.06431993842124939, 0.02955043502151966, 0.0859183594584465, -0.06282537430524826, 0.014922050759196281]]","[0.25495409965515137, -0.09177975356578827, 0.2919256389141083, 0.3353411853313446, 0.08014001697301865, 0.24202881753444672]","[1, 1]",22.742393547,-0.20725484192371368,0,0,1745574391.8842509,0
1,"[0.4105212986469269, -0.06460022926330566, 0.02942231297492981]","[-0.974088728427887, -0.5664288401603699, -0.8211707472801208, 0.8435992002487183]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5726193189620972, -0.023662690073251724, 0.15422028303146362, 0.07999907433986664, 0.4105212986469269, -0.06460022926330566, 0.02942231297492981, 0.08523677289485931, -0.0621512345969677, 0.014475420117378235]]","[0.06401525437831879, 0.3069440722465515, 0.1259053647518158, 0.14971457421779633, 0.1297091841697693, 0.3532280921936035]","[1, 1]",26.518192606,-0.20750834047794342,0,1,1745574396.4692087,1
2,"[0.4106181263923645, -0.064313143491745, 0.030446656048297882]","[-0.9810680747032166, -0.5641340613365173, -0.8648725152015686, 0.9560551643371582]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5235558152198792, -0.0516912005841732, 0.11085522174835205, 0.07999972999095917, 0.4106181263923645, -0.064313143491745, 0.030446656048297882, 0.08514377474784851, -0.061143163591623306, 0.015567474998533726]]","[0.07204362750053406, 0.20632047951221466, 0.02847636491060257, 0.2437046617269516, -0.017979949712753296, 0.2326754778623581]","[1, 1]",30.385633036,-0.20730267465114594,0,2,1745574400.2450078,2
3,"[0.41060078144073486, -0.06438781321048737, 0.030003029853105545]","[-0.9907796382904053, -0.30019307136535645, -0.9339777231216431, 0.8479149341583252]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.47405174374580383, -0.06652910262346268, 0.06416994333267212, 0.0800003856420517, 0.41060078144073486, -0.06438781321048737, 0.030003029853105545, 0.08149779587984085, -0.06333532929420471, 0.020466849207878113]]","[0.020597387105226517, 0.013437673449516296, -0.12484963983297348, 0.00871390663087368, 0.049661196768283844, 0.1155989021062851]","[1, 1]",34.102508998,-0.20734842121601105,0,3,1745574404.1125004,3
4,"[0.4107128381729126, -0.06404567509889603, 0.02997520938515663]","[-0.9730226397514343, -0.0108909010887146, -0.7935977578163147, 0.2937878370285034]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.42549213767051697, -0.06684905290603638, 0.024544034153223038, 0.08000104129314423, 0.4107128381729126, -0.06404567509889603, 0.02997520938515663, 0.08186345547437668, -0.06344456225633621, 0.01976957358419895]]","[-0.004785869270563126, -0.11053888499736786, 0.027231857180595398, 0.07404579222202301, 0.013590030372142792, 0.059640735387802124]","[1, 1]",38.15412088,-0.20710699260234833,0,4,1745574407.8293424,4
5,"[0.4107610583305359, -0.06397910416126251, 0.03035007417201996]","[0.8358321189880371, 0.39021003246307373, 0.9124329090118408, -0.8347219228744507]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.4666055738925934, -0.047388169914484024, 0.06935190409421921, 0.06400004774332047, 0.4107610583305359, -0.06397910416126251, 0.03035007417201996, 0.08158411830663681, -0.06379824876785278, 0.02179586887359619]]","[-0.024852551519870758, 0.02613857388496399, 0.30217573046684265, -0.014590626582503319, -0.23819667100906372, -0.30995988845825195]","[1, 1]",44.291314368,-0.20703619718551636,0,5,1745574411.8809433,5
6,"[0.4520525634288788, -0.04750591516494751, 0.0740661472082138]","[0.8358321189880371, 0.39021003246307373, 0.9124329090118408, -0.8347219228744507]",True,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.599536120891571, 0.01973152346909046, 0.059587638825178146, 0.07583186775445938, 0.4520525634288788, -0.04750591516494751, 0.0740661472082138, 0.09379050880670547, -0.057729821652173996, -0.017706241458654404]]","[0.04392622783780098, 0.19094218313694, 0.3337547779083252, -0.13758905231952667, -0.4125675857067108, -0.05209378898143768]","[1, 1]",59.066581467,-0.1684853583574295,0,6,1745574418.018123,6
7,"[0.4379693269729614, -0.1580696702003479, 0.02926652878522873]","[0.0934915542602539, 0.3039100170135498, -0.9556645750999451, 0.7593873739242554]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6424685716629028, 0.01526955608278513, 0.1496957689523697, 0.07999841868877411, 0.4379693269729614, -0.1580696702003479, 0.02926652878522873, 0.0988348051905632, -0.06740623712539673, -0.06772857159376144]]","[0.21404480934143066, -0.08283748477697372, -0.19760870933532715, -0.04737928509712219, -0.0036110058426856995, -0.03541742265224457]","[1, 1]",61.533672414,-0.24075564742088318,1,7,1745574432.7934022,0
8,"[0.43837326765060425, -0.15904346108436584, 0.029463212937116623]","[-0.30515289306640625, -0.304057240486145, 0.03465855121612549, 0.4028153419494629]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.626998245716095, 0.0003198867489118129, 0.15073564648628235, 0.07999972999095917, 0.43837326765060425, -0.15904346108436584, 0.029463212937116623, 0.08692922443151474, -0.06238546967506409, -0.0734025314450264]]","[0.01188003271818161, -0.21730709075927734, 0.07085900753736496, 0.038725368678569794, 0.1702221930027008, -0.0979498028755188]","[1, 1]",64.966624234,-0.24120540916919708,1,8,1745574435.2606351,1
9,"[0.4388646185398102, -0.15595658123493195, 0.03204856067895889]","[-0.8466317653656006, -0.9381272792816162, 0.10819220542907715, 0.5970592498779297]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5844372510910034, -0.046313103288412094, 0.1554347276687622, 0.0800003856420517, 0.4388646185398102, -0.15595658123493195, 0.03204856067895889, 0.08447347581386566, -0.05823720991611481, -0.08067984133958817]]","[-0.10407475382089615, 0.0036441385746002197, 0.36896073818206787, 0.2423221468925476, 0.3064287304878235, 0.12141068279743195]","[1, 1]",68.495105667,-0.23859909176826477,1,9,1745574438.6934397,2
10,"[0.4382466971874237, -0.1574670672416687, 0.030282801017165184]","[-0.9645978808403015, -0.9790686964988708, -0.38265442848205566, 0.898019552230835]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5360251069068909, -0.09503844380378723, 0.1357402354478836, 0.08000104129314423, 0.4382466971874237, -0.1574670672416687, 0.030282801017165184, 0.08714891970157623, -0.06426121294498444, -0.07502689957618713]]","[-0.20087581872940063, -0.07924391329288483, 0.11343032121658325, 0.28403395414352417, 0.14152784645557404, 0.09014960378408432]","[1, 1]",72.411223686,-0.24012240767478943,1,10,1745574442.2218506,3
11,"[0.4376620352268219, -0.1607096940279007, 0.028549794107675552]","[-0.9709101915359497, -0.9627724885940552, -0.8779798746109009, 0.893670916557312]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.4874930679798126, -0.1429896205663681, 0.09177075326442719, 0.08000169694423676, 0.4376620352268219, -0.1607096940279007, 0.028549794107675552, 0.10335636138916016, -0.0708605945110321, -0.07063222676515579]]","[-0.058389775454998016, 0.019551679491996765, 0.01171255111694336, 0.057834066450595856, 0.03718942031264305, 0.06170521676540375]","[1, 1]",76.474604359,-0.24292325973510742,1,11,1745574446.1377199,4
12,"[0.6331340670585632, -0.14392973482608795, 0.02447100169956684]","[-0.9381846785545349, -0.5986008644104004, -0.9716099500656128, 0.676276683807373]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.4406552016735077, -0.17275193333625793, 0.04319237917661667, 0.08000169694423676, 0.6331340670585632, -0.14392973482608795, 0.02447100169956684, 0.11746915429830551, -0.15536275506019592, 0.04258319362998009]]","[-0.06564104557037354, -0.06626024097204208, -0.09463157504796982, -0.05420845001935959, -0.010634928941726685, 0.2172771841287613]","[1, 1]",80.214045556,-0.16733616590499878,1,12,1745574450.2013984,5
13,"[0.6398442387580872, -0.13383620977401733, 0.02803099900484085]","[0.9999964237213135, 1, 1, 0.9999974966049194]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.49008792638778687, -0.12273027002811432, 0.09245236963033676, 0.08000169694423676, 0.6398442387580872, -0.13383620977401733, 0.02803099900484085, 0.08521425724029541, -0.05570270121097565, -0.06672176718711853]]","[-0.5821496844291687, -1.5242210626602173, -0.08805304020643234, -0.371974915266037, -0.7177644371986389, 0.8583579659461975]","[1, 1]",83.638114243,-0.15892457962036133,1,13,1745574453.940805,6
14,"[0.6398307085037231, -0.1339476853609085, 0.02784867398440838]","[0.7975773811340332, 0.49675452709198, -0.9766747951507568, 0.4991447925567627]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5294995903968811, -0.09788762032985687, 0.043362680822610855, 0.08000169694423676, 0.6398307085037231, -0.1339476853609085, 0.02784867398440838, 0.0847662091255188, -0.056186601519584656, -0.06688908487558365]]","[-0.4899147152900696, -0.916649580001831, 0.1461157500743866, -0.540486216545105, -0.9819771647453308, 1.9121487140655518]","[1, 1]",87.138871232,-0.1590314507484436,1,14,1745574457.3649411,7
15,"[0.6391286253929138, -0.13391940295696259, 0.028108084574341774]","[0.8326482772827148, -0.7169449329376221, -0.4555778503417969, 0.632404088973999]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5709213018417358, -0.13350830972194672, 0.020482392981648445, 0.08000169694423676, 0.6391286253929138, -0.13391940295696259, 0.028108084574341774, 0.08682969957590103, -0.04057157039642334, -0.08098359405994415]]","[0.14708256721496582, -0.8447409868240356, 0.33281078934669495, -0.41840216517448425, -0.6775566339492798, 2.053297758102417]","[1, 1]",91.158064955,-0.15882635116577148,1,15,1745574460.8657823,8
16,"[0.6387612223625183, -0.13556557893753052, 0.02679373137652874]","[-0.033582866191864014, 0.9181540012359619, 0.6100765466690063, -0.8788498044013977]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5689533352851868, -0.08776047825813293, 0.050299763679504395, 0.06400135904550552, 0.6387612223625183, -0.13556557893753052, 0.02679373137652874, 0.09352008253335953, -0.07518552243709564, -0.054322339594364166]]","[0.09379051625728607, -0.2023385614156723, 0.680769681930542, -0.07709496468305588, -0.9725201725959778, 2.3506901264190674]","[1, 1]",96.470986504,-0.1603538691997528,1,16,1745574464.8849843,9
17,"[0.6392351984977722, -0.13422271609306335, 0.028005734086036682]","[-0.033582866191864014, 0.9181540012359619, 0.6100765466690063, -0.8788498044013977]",True,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5996806025505066, 0.019708925858139992, 0.05970010906457901, 0.07841978967189789, 0.6392351984977722, -0.13422271609306335, 0.028005734086036682, 0.08856219798326492, -0.041484933346509933, -0.0748700350522995]]","[0.15586769580841064, -0.3927367925643921, 0.7451027631759644, -0.20513583719730377, -0.7823225855827332, 2.598848819732666]","[1, 1]",96.474544119,-0.15914779901504517,1,17,1745574470.1978052,10
0,"[0.5761200785636902, -0.08260795474052429, 0.03093128465116024]","[-0.6562004685401917, -0.26537907123565674, -0.6083142757415771, 0.5583076477050781]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6051586270332336, -0.013358254916965961, 0.16672542691230774, 0.028417905792593956, 0.5761200785636902, -0.08260795474052429, 0.03093128465116024, 0.08575396984815598, -0.06790489703416824, 0.02304062806069851]]","[0.25573837757110596, 0.1423255056142807, 0.13543230295181274, 0.11276038736104965, 0.17746949195861816, 0.047848835587501526]","[1, 1]",18.781516006,-0.10535421222448349,0,0,1745577557.5887854,0
1,"[0.5761623978614807, -0.082474485039711, 0.030454328283667564]","[-0.15155190229415894, -0.8370093107223511, -0.937575101852417, 0.6466212272644043]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5975647568702698, -0.054928313940763474, 0.11981610208749771, 0.07999776303768158, 0.5761623978614807, -0.082474485039711, 0.030454328283667564, 0.0870738998055458, -0.06946559250354767, 0.0228466484695673]]","[0.13370633125305176, 0.2749482989311218, -0.0074810609221458435, -0.07107336819171906, 0.16150054335594177, -0.10055894404649734]","[1, 1]",22.168993953,-0.10521148890256882,0,1,1745577561.423417,1
2,"[0.5762650370597839, -0.08255511522293091, 0.03147177770733833]","[-0.2724905014038086, -0.7058408260345459, -0.9670404195785522, 0.7681041955947876]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.583939790725708, -0.0899849459528923, 0.07150351256132126, 0.07999841868877411, 0.5762650370597839, -0.08255511522293091, 0.03147177770733833, 0.08873176574707031, -0.06797413527965546, 0.0227239690721035]]","[0.22004929184913635, 0.18573983013629913, -0.0416928231716156, -0.12440694123506546, 0.16880156099796295, -0.11818256229162216]","[1, 1]",25.533446063,-0.10527614504098892,0,2,1745577564.810884,2
